Key;Polish;English;Latin;Latin
ACHIEVEMENTS;Osiągnięcia;Achievements;;
MODEL;Model;Model;;
QUIZ;Quiz;Quiz;;
RANKING;Ranking;Ranking;;
SETTINGS;Ustawienia;Settings;;
EXIT;Wyjście;Exit;;
MUSIC;Muzyka;Music;;
SOUND;Dźwięk;Sound;;
LANGUAGE;Język;Language;;
LEVELS;Poziomy;Levels;;
EMAIL;E-mail;E-mail;;
PASSWORD;Hasło;Password;;
NICKNAME;Nazwa;Nickname;;
REMEMBER;Zapamiętaj;Remember;;
LOGIN;Login;Login;;
REGISTERANDLOGIN;Zarejestruj i zaloguj;Register and login;;
RETURN;Powrót;Return;;
SEARCH;Szukaj…;Search…;;
SCORE;Wynik;Score;;
EASY;Łatwy;Easy;;
MEDIUM;Średni;Medium;;
HARD;Trudny;Hard;;
QUESTION;Pytanie;Question;;
TIME;Czas;Time;;
CORRECTANSWER;Poprawne odpowiedzi;Correct answers;;
INCORRECTANSWER;Niepoprawne odpowiedzi;Incorrect answers;;
TIMEISUP;Czas minał;Time is up;;
PLAYAGAIN;Zagraj jeszcze raz;Play again;;
REMAININGTIME;Pozostały czas;Remaining time;;
SELECT;Wskaż;Select;;
CONFIRM;Potwierdź;Confirm;;
REFRESH;Odśwież;Refresh;;
COMPLETED;Zdobyte:;Completed:;;
ANSWER50QUESTIONS;Odpowiedz na 50 pytań;Answer 50 questions;;
ANSWER100QUESTIONS;Odpowiedz na 100 pytań;Answer 100 questions;;
ANSWER200QUESTIONS;Odpowiedz na 200 pytań;Answer 200 questions;;
SOLVEEASYQUIZ50;Uzyskaj co najmniej 50% poprawnych odpowiedzi w łatwym quizie;Achieve a minimum of 50% correct answers in easy quiz;;
SOLVEEASYQUIZ75;Uzyskaj co najmniej 75% poprawnych odpowiedzi w łatwym quizie;Achieve a minimum of 75% correct answers in easy quiz;;
SOLVEEASYQUIZ100;Uzyskaj co najmniej 100% poprawnych odpowiedzi w łatwym quizie;Achieve a minimum of 100% correct answers in easy quiz;;
SOLVEQUIZUNDER120;Rozwiąż dowolny quiz w mniej niż 2 minuty;Solve any quiz under 2 minutes;;
SOLVEQUIZUNDER60;Rozwiąż dowolny quiz w mniej niż 1 minutę;Solve any quiz under 1 minute;;
SOLVEQUIZUNDER30;Rozwiąż dowolny quiz w mniej niż 30 sekund;Solve any quiz under 30 seconds;;
SOLVEQUIZUNDERLAST5;Rozwiąż dowolny quiz w ostanich 5 sekundach;Solve any quiz in last 5 seconds;;
TIBIA;Kość piszczelowa;Tibia;Tibia;Tibia
FIBULA;Kość strzałkowa;Fibula;Fibula;Fibula
FEMUR;Kość udowa;Femur;Os femoris;Os femoris
PATELLA;Rzepka kolanowa;Patella;Patella;Patella
MEDIALCONDYLE;Kłykieć przyśrodkowy;Medial condyle;Condylus medialis femoris;Condylus medialis femoris
LATERALMENISCUS;Łąkotka boczna;Lateral meniscus;Meniscus lateralis;Meniscus lateralis
MEDIALMENISCUS;Łąkotka przyśrodkowa;Medial meniscus;Meniscus medialis;Meniscus medialis
TIBIALJOINT;Powierzchnia stawowa piszczela;Articular surface of the tibia;Articularis superficies tibiae;Articularis superficies tibiae
PATELLAJOINT;Powierzchnia stawowa rzepki;Articular surface of the patella;Patellae superficies articularis;Patellae superficies articularis
SAGITTALJOINT;Powierzchnia stawowa strzałki;Articular facet of head of fibula;Facies articularis capitis fibulae;Facies articularis capitis fibulae
TRANSVERSELIGAMENT;Więzadło poprzeczne;Transverse ligament;Ligamentum transversum genus;Ligamentum transversum genus
ANTERIORCRUCIATELIGAMNET;Więzadło krzyżowe przednie;Anterior cruciate ligament;Ligamentum cruciatum anterius;Ligamentum cruciatum anterius
POSTERIORCRUCIATELIGAMENT;Więzadło krzyżowe tylne;Posterior cruciate ligament;Ligamentum cruciatum posterius;Ligamentum cruciatum posterius
POSTERIORMENISCUS-FEMORALLIGAMENT;Więzadło łąkotkowo-udowe tylne;Posterior meniscofemoral ligament;Ligamentum meniscofemorale posterius;Ligamentum meniscofemorale posterius
MEDIALCOLLATERALLIGAMENTS;Więzadło poboczne piszczelowe;Tibial collateral ligament;Ligamentum collaterale tibiale genus;Ligamentum collaterale tibiale genus
LATERALCOLLATERALLIGAMENTS;Więzadło poboczne strzałkowe;Fibular collateral ligament;Ligamentum collaterale fibulare genus;Ligamentum collaterale fibulare genus
PATELLARLIGAMENT;Więzadło rzepki;Patellar ligament;Ligamentum patellae;Ligamentum patellae
HIDE;Schowaj;Hide;;
ISOLATE;Izoluj;Isolate;;
SHOWALL;Pokaż wszystko;Show all;;
LATIN;Łaciński;Latin;;
ENGLISH;Angielski;English;;
POLISH;Polski;Polish;;
NOINTERNETCONNECTION;Brak połączenia z Internetem;No Internet connection;;
INCORRECTMAIL;Niepoprawny e-mail;Incorrect e-mail address;;
INVALIDEMAILORPASSWORD;Niepoprawne dane;Incorrect data;;
EASYQUIZQUESTION;Jak nazywa się zaznaczony element?;What is the name of the selected item?;;
PRESSENTERTOCONFIRM ;Naciśnij ENTER, aby potwierdzić;Press ENTER to confirm;;
EMAILADDRESSNOTAVAILABLE;Adres e-mail jest zajęty;The email address is used;;
REGISTERSUCESSFUL;Zarejestrowano pomyślnie!;Register sucessful!;;
